threshold,precision,recall,f1,true_positives,false_positives,true_negatives,false_negatives,total_cost
0.1,0.05085429839903135,1.0,0.0967865830239406,378,7055,0,0,705500
0.15000000000000002,0.05085429839903135,1.0,0.0967865830239406,378,7055,0,0,705500
0.20000000000000004,0.05085429839903135,1.0,0.0967865830239406,378,7055,0,0,705500
0.25000000000000006,0.05085429839903135,1.0,0.0967865830239406,378,7055,0,0,705500
0.30000000000000004,0.05086114101184069,1.0,0.09679897567221511,378,7054,1,0,705400
0.3500000000000001,0.05067798931653198,0.9788359788359788,0.09636671441593958,370,6931,124,8,701100
0.40000000000000013,0.055011174144748154,0.8465608465608465,0.1033091202582728,320,5497,1558,58,607700
0.4500000000000001,0.12093726379440665,0.42328042328042326,0.18812463256907702,160,1163,5892,218,334300
0.5000000000000001,0.12479740680713128,0.4074074074074074,0.19106699751861042,154,1080,5975,224,332000
0.5500000000000002,0.13424657534246576,0.3888888888888889,0.19959266802443992,147,948,6107,231,325800
0.6000000000000002,0.15547703180212014,0.3492063492063492,0.21515892420537897,132,717,6338,246,317700
0.6500000000000001,0.17,0.3148148148148148,0.22077922077922077,119,581,6474,259,317100
0.7000000000000002,0.2033195020746888,0.25925925925925924,0.22790697674418606,98,384,6671,280,318400
0.7500000000000002,0.2518518518518518,0.17989417989417988,0.20987654320987653,68,202,6853,310,330200
0.8000000000000003,0.27941176470588236,0.15079365079365079,0.1958762886597938,57,147,6908,321,335700
0.8500000000000003,0.27388535031847133,0.11375661375661375,0.16074766355140188,43,114,6941,335,346400
0.9000000000000002,0.5384615384615384,0.018518518518518517,0.03580562659846547,7,6,7049,371,371600
