transaction_id,customer_id,timestamp,amount,payment_method,refund_requested,refund_amount,refund_delay_hours,previous_orders,previous_refunds,historical_refund_rate,high_value_transaction,rapid_refund,refund_amount_ratio,refund_frequency_signal,abuse_label,historical_orders,historical_refunds_v2,hours_since_previous_order,hours_since_previous_refund,customer_avg_order_amount,amount_vs_customer_avg,customer_avg_refund_amount,refund_vs_customer_avg,orders_last_24H,orders_last_7D,orders_last_30D,refunds_last_24H,refunds_last_7D,refunds_last_30D,refund_rate_7D,refund_rate_30D,refund_acceleration
TXN_0013444,CUST_00001,2026-03-25 13:01:00,2071.62,upi,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0025549,CUST_00001,2026-03-26 12:42:00,256.96,card,0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0,1,0.0,23.683333333333334,0.0,2071.62,0.12403819233257064,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0000067,CUST_00001,2026-05-05 17:35:00,3330.05,upi,0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0,2,0.0,964.8833333333333,0.0,1164.29,2.860155115993438,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0037941,CUST_00001,2026-05-25 11:40:00,4368.5,netbanking,0,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0,3,0.0,474.0833333333333,0.0,1886.21,2.3160199553602197,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0049066,CUST_00002,2026-01-22 20:09:00,591.66,upi,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0008088,CUST_00002,2026-01-27 23:24:00,976.15,card,0,0.0,0.0,1,0,0.0,0,0,0.0,0.0,0,1,0.0,123.25,0.0,591.66,1.649849575769868,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0028468,CUST_00002,2026-02-08 11:21:00,2838.47,netbanking,0,0.0,0.0,2,0,0.0,0,0,0.0,0.0,0,2,0.0,275.95,0.0,783.905,3.6209362103826357,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0022936,CUST_00002,2026-02-20 05:09:00,625.52,wallet,0,0.0,0.0,3,0,0.0,0,0,0.0,0.0,0,3,0.0,281.8,0.0,1468.76,0.4258830578174787,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0031832,CUST_00002,2026-03-27 03:15:00,52270.57,upi,0,0.0,0.0,4,0,0.0,1,0,0.0,0.0,0,4,0.0,838.1,0.0,1257.9499999999998,41.552184109066346,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0020042,CUST_00002,2026-04-06 04:34:00,1053.99,card,1,753.47,18.54,5,0,0.0,0,0,0.7148739551608649,0.0,0,5,0.0,241.31666666666666,0.0,11460.473999999998,0.0919674003012441,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_0023952,CUST_00002,2026-04-26 17:10:00,844.45,netbanking,0,0.0,0.0,6,1,0.1666666666666666,0,0,0.0,0.1666666666666666,0,6,1.0,492.6,492.6,9726.06,0.08682344135240787,125.57833333333333,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,2.0
