transaction_id,customer_id,timestamp,amount,payment_method,refund_requested,refund_amount,refund_delay_hours,customer_segment
TXN_0012781,CUST_04284,2026-01-01 00:00:00,1227.43,upi,0,0.0,0.0,normal
TXN_0045051,CUST_02844,2026-01-01 00:04:00,1212.16,card,0,0.0,0.0,suspicious
TXN_0030972,CUST_03708,2026-01-01 00:05:00,1322.04,wallet,0,0.0,0.0,normal
TXN_0034875,CUST_01321,2026-01-01 00:08:00,469.22,upi,1,422.93,49.38,normal
TXN_0044546,CUST_09081,2026-01-01 00:10:00,1228.01,upi,0,0.0,0.0,normal
TXN_0003650,CUST_05172,2026-01-01 00:16:00,1102.61,netbanking,0,0.0,0.0,normal
TXN_0007254,CUST_06822,2026-01-01 00:16:00,2005.08,upi,0,0.0,0.0,normal
TXN_0016658,CUST_09586,2026-01-01 00:16:00,1811.84,card,1,1497.37,103.08,normal
TXN_0023827,CUST_00073,2026-01-01 00:23:00,855.1,upi,1,641.97,58.67,normal
TXN_0007527,CUST_00095,2026-01-01 00:46:00,5046.59,upi,0,0.0,0.0,normal
TXN_0040955,CUST_06840,2026-01-01 00:51:00,2146.86,card,0,0.0,0.0,suspicious
TXN_0049415,CUST_00096,2026-01-01 00:51:00,1328.79,netbanking,0,0.0,0.0,normal
TXN_0030239,CUST_00290,2026-01-01 01:27:00,3473.4,upi,0,0.0,0.0,normal
TXN_0041452,CUST_09781,2026-01-01 01:27:00,15906.64,upi,0,0.0,0.0,normal
TXN_0043508,CUST_01575,2026-01-01 01:36:00,1791.77,card,1,1762.48,78.34,normal
TXN_0004793,CUST_02563,2026-01-01 01:40:00,1278.96,netbanking,0,0.0,0.0,normal
TXN_0003075,CUST_01085,2026-01-01 01:46:00,455.87,card,1,275.29,53.14,suspicious
TXN_0010981,CUST_04993,2026-01-01 01:48:00,1913.8,upi,0,0.0,0.0,normal
TXN_0035334,CUST_09722,2026-01-01 01:53:00,919.12,netbanking,0,0.0,0.0,normal
TXN_0011666,CUST_08535,2026-01-01 01:59:00,966.1,upi,0,0.0,0.0,normal
TXN_0032624,CUST_06582,2026-01-01 01:59:00,102.06,card,1,74.12,29.32,suspicious
TXN_0011301,CUST_07611,2026-01-01 02:14:00,9221.8,upi,0,0.0,0.0,normal
TXN_0028464,CUST_04395,2026-01-01 02:35:00,1364.54,card,0,0.0,0.0,suspicious
TXN_0045456,CUST_03866,2026-01-01 02:41:00,402.77,card,0,0.0,0.0,normal
TXN_0030364,CUST_01244,2026-01-01 02:44:00,1550.23,card,0,0.0,0.0,normal
TXN_0027349,CUST_05944,2026-01-01 02:50:00,1155.09,upi,0,0.0,0.0,occasional_refunder
TXN_0014790,CUST_08743,2026-01-01 02:50:00,25721.27,card,0,0.0,0.0,normal
TXN_0011128,CUST_04171,2026-01-01 03:12:00,913.27,upi,0,0.0,0.0,normal
TXN_0009096,CUST_02619,2026-01-01 03:22:00,753.9,upi,0,0.0,0.0,normal
TXN_0041394,CUST_00033,2026-01-01 03:30:00,2391.44,upi,0,0.0,0.0,normal
TXN_0028937,CUST_05091,2026-01-01 03:34:00,214.99,card,0,0.0,0.0,normal
TXN_0037475,CUST_07013,2026-01-01 03:36:00,792.25,upi,0,0.0,0.0,normal
TXN_0029957,CUST_03776,2026-01-01 03:48:00,2204.95,card,0,0.0,0.0,suspicious
TXN_0038372,CUST_08130,2026-01-01 03:52:00,4116.54,card,0,0.0,0.0,normal
TXN_0034130,CUST_06400,2026-01-01 03:53:00,108.41,upi,0,0.0,0.0,occasional_refunder
TXN_0019677,CUST_08888,2026-01-01 04:00:00,870.41,upi,0,0.0,0.0,normal
TXN_0040226,CUST_04118,2026-01-01 04:08:00,473.64,netbanking,0,0.0,0.0,normal
TXN_0036954,CUST_03930,2026-01-01 04:12:00,20172.97,upi,0,0.0,0.0,normal
TXN_0005891,CUST_02861,2026-01-01 04:13:00,361.82,card,1,301.23,65.43,occasional_refunder
TXN_0008945,CUST_00659,2026-01-01 04:19:00,843.63,upi,0,0.0,0.0,normal
TXN_0038829,CUST_08171,2026-01-01 04:20:00,9633.46,upi,0,0.0,0.0,normal
TXN_0013912,CUST_07481,2026-01-01 04:20:00,561.32,wallet,0,0.0,0.0,normal
TXN_0002374,CUST_01882,2026-01-01 04:21:00,2500.45,upi,0,0.0,0.0,occasional_refunder
TXN_0033218,CUST_02025,2026-01-01 04:35:00,2571.76,upi,0,0.0,0.0,normal
TXN_0006445,CUST_06347,2026-01-01 04:46:00,161.72,upi,0,0.0,0.0,normal
TXN_0006092,CUST_03620,2026-01-01 04:55:00,882.38,upi,0,0.0,0.0,normal
TXN_0017806,CUST_02862,2026-01-01 04:57:00,3120.2,card,0,0.0,0.0,normal
TXN_0034259,CUST_07785,2026-01-01 05:04:00,2264.86,upi,0,0.0,0.0,suspicious
TXN_0037267,CUST_04155,2026-01-01 05:07:00,632.03,card,0,0.0,0.0,normal
TXN_0026054,CUST_07666,2026-01-01 05:10:00,1276.87,card,0,0.0,0.0,normal
TXN_0036731,CUST_03071,2026-01-01 05:13:00,803.53,card,0,0.0,0.0,normal
TXN_0041247,CUST_07401,2026-01-01 05:19:00,11013.92,card,1,10779.54,99.7,normal
TXN_0028711,CUST_04358,2026-01-01 05:19:00,787.34,upi,0,0.0,0.0,normal
TXN_0044601,CUST_04238,2026-01-01 05:21:00,12924.46,upi,0,0.0,0.0,normal
TXN_0015356,CUST_02181,2026-01-01 05:22:00,1892.61,netbanking,0,0.0,0.0,normal
TXN_0029871,CUST_07444,2026-01-01 05:27:00,745.49,upi,0,0.0,0.0,normal
TXN_0015041,CUST_04768,2026-01-01 05:27:00,227.54,card,0,0.0,0.0,normal
TXN_0035490,CUST_06411,2026-01-01 05:39:00,1344.05,card,0,0.0,0.0,normal
TXN_0029483,CUST_04632,2026-01-01 05:45:00,25266.3,upi,0,0.0,0.0,normal
TXN_0021140,CUST_01845,2026-01-01 05:49:00,4447.93,card,0,0.0,0.0,suspicious
TXN_0039363,CUST_06410,2026-01-01 05:49:00,2683.42,upi,0,0.0,0.0,suspicious
TXN_0023161,CUST_04128,2026-01-01 05:53:00,8520.96,upi,0,0.0,0.0,suspicious
TXN_0021618,CUST_06269,2026-01-01 05:55:00,223.62,wallet,0,0.0,0.0,normal
TXN_0048395,CUST_02122,2026-01-01 06:03:00,2060.38,card,0,0.0,0.0,normal
TXN_0014128,CUST_03324,2026-01-01 06:03:00,1846.1,upi,0,0.0,0.0,normal
TXN_0049095,CUST_05305,2026-01-01 06:06:00,658.2,upi,0,0.0,0.0,normal
TXN_0042318,CUST_09417,2026-01-01 06:08:00,1025.42,upi,0,0.0,0.0,normal
TXN_0007258,CUST_01983,2026-01-01 06:11:00,885.11,card,0,0.0,0.0,normal
TXN_0036896,CUST_05410,2026-01-01 06:17:00,4466.93,upi,1,3338.18,165.71,normal
TXN_0047300,CUST_03046,2026-01-01 06:17:00,1033.64,wallet,1,721.65,90.59,normal
TXN_0025080,CUST_05689,2026-01-01 06:25:00,2644.55,card,1,1413.58,13.66,normal
TXN_0001496,CUST_04694,2026-01-01 06:29:00,1031.46,upi,0,0.0,0.0,normal
TXN_0046303,CUST_05725,2026-01-01 06:32:00,177.17,upi,0,0.0,0.0,normal
TXN_0010670,CUST_09279,2026-01-01 06:40:00,149.97,upi,0,0.0,0.0,normal
TXN_0030987,CUST_01509,2026-01-01 06:42:00,774.38,upi,0,0.0,0.0,normal
TXN_0046407,CUST_05184,2026-01-01 06:43:00,1968.45,upi,0,0.0,0.0,suspicious
TXN_0010743,CUST_03136,2026-01-01 06:45:00,147.08,card,0,0.0,0.0,normal
TXN_0024769,CUST_05018,2026-01-01 06:46:00,2233.82,wallet,0,0.0,0.0,normal
TXN_0037679,CUST_00525,2026-01-01 06:55:00,9322.51,upi,0,0.0,0.0,normal
TXN_0016517,CUST_01558,2026-01-01 07:00:00,1190.76,upi,0,0.0,0.0,normal
TXN_0044981,CUST_09389,2026-01-01 07:01:00,1577.6,upi,0,0.0,0.0,normal
TXN_0044241,CUST_07022,2026-01-01 07:05:00,100.0,card,0,0.0,0.0,normal
TXN_0037240,CUST_04080,2026-01-01 07:21:00,171.04,upi,0,0.0,0.0,normal
TXN_0002398,CUST_09223,2026-01-01 07:26:00,2007.84,netbanking,0,0.0,0.0,normal
TXN_0010451,CUST_02728,2026-01-01 07:26:00,905.08,card,0,0.0,0.0,normal
TXN_0032765,CUST_07068,2026-01-01 07:27:00,27499.77,upi,0,0.0,0.0,normal
TXN_0038084,CUST_00998,2026-01-01 07:30:00,1345.44,netbanking,0,0.0,0.0,normal
TXN_0009400,CUST_08148,2026-01-01 07:43:00,12116.6,wallet,0,0.0,0.0,occasional_refunder
TXN_0007091,CUST_04879,2026-01-01 07:46:00,1616.98,wallet,1,915.42,218.71,normal
TXN_0034173,CUST_08404,2026-01-01 07:46:00,614.19,upi,0,0.0,0.0,normal
TXN_0006506,CUST_02595,2026-01-01 07:46:00,759.19,netbanking,0,0.0,0.0,normal
TXN_0047046,CUST_01801,2026-01-01 07:48:00,449.81,upi,0,0.0,0.0,suspicious
TXN_0048822,CUST_06760,2026-01-01 07:50:00,739.54,wallet,0,0.0,0.0,normal
TXN_0038326,CUST_01967,2026-01-01 07:56:00,942.8,upi,0,0.0,0.0,normal
TXN_0024307,CUST_06010,2026-01-01 08:02:00,508.44,upi,0,0.0,0.0,normal
TXN_0011528,CUST_00626,2026-01-01 08:05:00,3863.64,wallet,0,0.0,0.0,normal
TXN_0033575,CUST_04152,2026-01-01 08:06:00,1152.8,upi,0,0.0,0.0,normal
TXN_0034874,CUST_08012,2026-01-01 08:07:00,964.32,card,0,0.0,0.0,normal
TXN_0027999,CUST_01679,2026-01-01 08:13:00,2330.24,wallet,0,0.0,0.0,normal
TXN_0001994,CUST_03284,2026-01-01 08:26:00,664.03,card,0,0.0,0.0,occasional_refunder
TXN_0013025,CUST_05256,2026-01-01 08:28:00,2450.13,wallet,0,0.0,0.0,normal
TXN_0036423,CUST_06498,2026-01-01 08:28:00,1376.38,upi,0,0.0,0.0,normal
TXN_0004005,CUST_00056,2026-01-01 08:36:00,2978.16,card,0,0.0,0.0,occasional_refunder
TXN_0004757,CUST_04792,2026-01-01 08:41:00,6525.63,upi,0,0.0,0.0,suspicious
TXN_0048076,CUST_07352,2026-01-01 08:45:00,2295.56,card,0,0.0,0.0,normal
TXN_0000549,CUST_08392,2026-01-01 08:49:00,225.59,upi,0,0.0,0.0,normal
TXN_0040245,CUST_09272,2026-01-01 08:58:00,3504.14,card,0,0.0,0.0,normal
TXN_0047126,CUST_04261,2026-01-01 09:00:00,3062.83,card,0,0.0,0.0,normal
TXN_0009209,CUST_06029,2026-01-01 09:10:00,14121.87,upi,0,0.0,0.0,normal
TXN_0015517,CUST_04124,2026-01-01 09:14:00,2095.57,card,0,0.0,0.0,occasional_refunder
TXN_0002836,CUST_00906,2026-01-01 09:15:00,8306.26,card,0,0.0,0.0,occasional_refunder
TXN_0006968,CUST_06045,2026-01-01 09:18:00,1203.95,netbanking,0,0.0,0.0,normal
TXN_0016590,CUST_03714,2026-01-01 09:20:00,4819.01,card,0,0.0,0.0,normal
TXN_0032221,CUST_09981,2026-01-01 09:22:00,39082.58,card,0,0.0,0.0,normal
TXN_0036100,CUST_07367,2026-01-01 09:31:00,1231.61,upi,0,0.0,0.0,normal
TXN_0000957,CUST_07035,2026-01-01 09:38:00,833.29,upi,0,0.0,0.0,normal
TXN_0028034,CUST_01133,2026-01-01 09:42:00,1281.56,card,0,0.0,0.0,normal
TXN_0015690,CUST_07357,2026-01-01 09:49:00,3937.99,upi,1,2597.09,9.2,aggressive_abuser
TXN_0028285,CUST_00353,2026-01-01 09:51:00,8586.94,card,0,0.0,0.0,normal
TXN_0017813,CUST_00355,2026-01-01 09:56:00,675.9,netbanking,0,0.0,0.0,normal
TXN_0035980,CUST_02073,2026-01-01 09:56:00,2736.1,upi,0,0.0,0.0,normal
TXN_0005471,CUST_02480,2026-01-01 10:00:00,248.03,upi,0,0.0,0.0,normal
TXN_0045427,CUST_06576,2026-01-01 10:01:00,2155.13,upi,0,0.0,0.0,normal
TXN_0044106,CUST_06077,2026-01-01 10:06:00,983.75,card,0,0.0,0.0,normal
TXN_0020949,CUST_09629,2026-01-01 10:06:00,17677.23,upi,0,0.0,0.0,normal
TXN_0044821,CUST_04930,2026-01-01 10:06:00,868.27,upi,0,0.0,0.0,occasional_refunder
TXN_0038603,CUST_06028,2026-01-01 10:07:00,2434.84,netbanking,0,0.0,0.0,normal
TXN_0021817,CUST_08692,2026-01-01 10:15:00,554.95,upi,0,0.0,0.0,normal
TXN_0035384,CUST_05926,2026-01-01 10:17:00,2028.52,card,0,0.0,0.0,normal
TXN_0028210,CUST_05885,2026-01-01 10:17:00,2648.03,upi,0,0.0,0.0,normal
TXN_0026165,CUST_08268,2026-01-01 10:32:00,5114.82,upi,0,0.0,0.0,normal
TXN_0044262,CUST_09917,2026-01-01 10:36:00,6339.66,upi,0,0.0,0.0,normal
TXN_0018541,CUST_09882,2026-01-01 10:39:00,574.87,wallet,0,0.0,0.0,normal
TXN_0049582,CUST_09651,2026-01-01 10:41:00,5960.69,upi,0,0.0,0.0,normal
TXN_0000078,CUST_02074,2026-01-01 10:47:00,3048.5,upi,0,0.0,0.0,occasional_refunder
TXN_0043301,CUST_08311,2026-01-01 10:59:00,5805.76,netbanking,0,0.0,0.0,normal
TXN_0022415,CUST_01051,2026-01-01 11:03:00,290.37,upi,0,0.0,0.0,occasional_refunder
TXN_0017841,CUST_09965,2026-01-01 11:04:00,392.88,upi,0,0.0,0.0,normal
TXN_0008548,CUST_08074,2026-01-01 11:04:00,17733.38,card,0,0.0,0.0,normal
TXN_0029582,CUST_03488,2026-01-01 11:18:00,11976.55,netbanking,0,0.0,0.0,normal
TXN_0013355,CUST_07682,2026-01-01 11:19:00,25645.77,upi,1,22075.71,30.19,normal
TXN_0025431,CUST_09383,2026-01-01 11:21:00,11905.53,card,0,0.0,0.0,normal
TXN_0005693,CUST_06148,2026-01-01 11:27:00,2018.29,wallet,0,0.0,0.0,normal
TXN_0028978,CUST_00812,2026-01-01 11:33:00,6559.58,upi,0,0.0,0.0,normal
TXN_0001035,CUST_06044,2026-01-01 11:36:00,11759.69,upi,0,0.0,0.0,normal
TXN_0011679,CUST_00179,2026-01-01 11:36:00,120.67,upi,1,68.83,10.12,suspicious
TXN_0040773,CUST_09278,2026-01-01 11:39:00,4554.64,upi,0,0.0,0.0,normal
TXN_0047518,CUST_01615,2026-01-01 11:44:00,5120.72,upi,0,0.0,0.0,normal
TXN_0037252,CUST_06270,2026-01-01 11:45:00,251.93,card,0,0.0,0.0,normal
TXN_0047474,CUST_00454,2026-01-01 11:59:00,18664.18,netbanking,0,0.0,0.0,occasional_refunder
TXN_0033403,CUST_06956,2026-01-01 12:03:00,5667.54,card,0,0.0,0.0,normal
TXN_0013321,CUST_05988,2026-01-01 12:08:00,588.0,upi,0,0.0,0.0,suspicious
TXN_0008613,CUST_09347,2026-01-01 12:08:00,1404.03,upi,0,0.0,0.0,normal
